si,dong,location,latitude,longitude,지번주소,도로명주소
제주시,화북일동,"33.5132095,126.565889",33.513209499999995,126.56588899999998,제주특별자치도 제주시 화북일동 2170,제주특별자치도 제주시 선반로8길 21-2
서귀포시,강정동,"33.2472248,126.497120",33.247224800000005,126.49712,제주특별자치도 서귀포시 강정동 1186-1,제주특별자치도 서귀포시 선반로62번길 102
서귀포시,중문동,"33.2609165,126.434900",33.2609165,126.4349,제주특별자치도 서귀포시 중문동 1203,제주특별자치도 서귀포시 일주서로728번길 60
제주시,애월읍,"33.4676068,126.418234",33.467606800000006,126.41823400000001,제주특별자치도 제주시 애월읍 하귀1리 1040,제주특별자치도 제주시 애월읍 하광로 222-16
제주시,구좌읍,"33.5324874,126.790590",33.5324874,126.79059,제주특별자치도 제주시 구좌읍 행원리 2594-1,제주특별자치도 제주시 구좌읍 남지기길 19
제주시,일도이동,"33.5018445,126.554738",33.501844500000004,126.55473799999999,제주특별자치도 제주시 일도이동 3-5,제주특별자치도 제주시 남광로 190
제주시,건입동,"33.5081621,126.546747",33.50816210000001,126.546747,제주특별자치도 제주시 건입동 111-1,제주특별자치도 제주시 천수동로 29
제주시,오등동,"33.4535797,126.533869",33.4535797,126.533869,제주특별자치도 제주시 오등동 333,제주특별자치도 제주시 죽성서길 75
제주시,일도이동,"33.5051116,126.540259",33.505111600000006,126.540259,제주특별자치도 제주시 일도이동 380-8,제주특별자치도 제주시 동광로16길 19-17
제주시,봉개동,"33.4866499,126.595315",33.4866499,126.59531499999999,제주특별자치도 제주시 봉개동 2736,제주특별자치도 제주시 봉개대동6길 25
제주시,이도이동,"33.4958737,126.537705",33.4958737,126.537705,제주특별자치도 제주시 이도이동 1085-6,제주특별자치도 제주시 남광북3길 35
서귀포시,대정읍,"33.2794397,126.287052",33.2794397,126.287052,제주특별자치도 서귀포시 대정읍 구억리 215-1,제주특별자치도 서귀포시 대정읍 평화로69번길 290
제주시,조천읍,"33.5354068,126.620406",33.535406800000004,126.620406,제주특별자치도 제주시 조천읍 신촌리 1865-1,제주특별자치도 제주시 조천읍 신촌5길 13
제주시,삼도이동,"33.5051129,126.521241",33.50511289999999,126.52124099999999,제주특별자치도 제주시 삼도이동 594-13,제주특별자치도 제주시 서사로11길 10-4
